NOM_SITE,Annee,Temperature,Salinite,Oxygene,pH,NH4,NO3,NO2,PO4,SiO4,COP,MES,CHLA,DN15,DC13,CN
Antioche,2011,17.85,35,5.145,8.06,1.512,2.125,0.205,0.26,4.73,160.4,2.836,1.45,6.285,-22.135,5.305
Antioche,2012,14.971,33.8,5.69,8,1.077,10.1,0.24,0.16,7.67,203.07,3.23,1.5,5.47,-21.91,6.05
Antioche,2013,13.522,33.47,5.74,8.02,1.707,14.67,0.38,0.21,9.08,253.13,4.067,1.14,4.36,-22.79,6.755
Antioche,2014,15.557,33.899,5.5,8.09,0.3995,7.7,0.33,0.12,8.27,306.44,3.324,1.5,5.09,-23.07,6.27
Antioche,2015,15.313,34.103,5.79,8.06,0.654,6.48,0.26,0.2,6.72,264.55,3.48,1.79,5.41,-22.32,5.72
Antioche,2016,14.866,33.667,5.65,8.04,0.6545,14.59,0.245,0.15,6.25,371.41,2.342,1.94,4.75,-22.965,6.8915
Astan,2000,12.95,35.0535,5.95,NA,0.25,6.05,0.285,0.36,3.72,NA,NA,0.405,NA,NA,NA
Astan,2001,13.2,35.248,5.98,8.105,0.12,6.1,0.31,0.27,3.34,158,3.1,0.53,NA,NA,NA
Astan,2002,12.95,35.2635,5.92,8.145,0.19,5.25,0.205,0.24,2.85,104.105,3.55,0.71,NA,NA,NA
Astan,2003,13.02,35.068,5.95,8.12,0.145,5.2,0.26,0.24,3.7,134.598,3.55,0.79,NA,NA,NA
Astan,2004,13.25,35.226,5.85,8.04,0.22,5.3,0.23,0.19,3.2,118.5,3.5,0.76,NA,NA,NA
Astan,2005,12.6,35.324,6.07,8.07,0.16,3.6,0.16,0.3,2.9,113.2,2.9,0.62,NA,NA,NA
Astan,2006,13.7,35.3395,5.99,8.05,0.23,3.8,0.21,0.22,2.8,110.1,2.9,0.72,NA,NA,NA
Astan,2007,13.135,35.338,5.945,8.065,0.19,5.3,0.145,0.29,3,102.6,2.45,0.71,NA,NA,NA
Astan,2008,13.15,35.222,6.025,8.03,0.15,6.1,0.26,0.41,2.9,139.3,3,0.83,NA,NA,NA
Astan,2009,12.8,35.234,6.15,8.04,0.23,6.3,0.2,0.36,3.2,144,3.1,0.83,7.14,-22.75,6.23
Astan,2010,12.525,35.199,6.08,8.04,0.375,6.25,0.205,0.295,2.8,87.803,1.75,0.565,6.7895,-22.506,6.3915
