NOM_SITE,Annee,Mois,Temperature,Salinite,Oxygene,pH,NH4,NO3,NO2,PO4,SiO4,COP,MES,CHLA,DN15,DC13,CN
Antioche,2011,6,17.1,34.4,5.84,8.09,0.367,0.56,0.04,NA,1.86,237.22,1.624,2.47,5.28,-22.42,6.92
Antioche,2011,7,17.2,34.5,5.19,8.02,NA,1.825,0.16,0.17,5.38,172.985,2.42,1.65,6.29,-23.045,6.555
Antioche,2011,8,20.65,35.05,4.05,8.075,NA,1.05,0.035,0.065,1.6,184.565,1.136,4.03,4.3,-20.605,6.035
Antioche,2011,9,20.35,35.1,4.81,8.065,NA,1.115,0.11,0.2,4.685,145.845,3.014,1.39,6.175,-21.785,4.835
Antioche,2011,10,19.1,35.1,5.115,8.04,1.512,3.65,0.665,0.34,6.13,160.4,2.8545,1.885,6.875,-21.98,4.96
Antioche,2011,11,15.4,34.95,5.385,8.07,2.348,6.25,1.56,0.36,4.73,215.135,8.395,0.765,7.305,-21.84,5.21
Antioche,2011,12,14.3,34.7,5.71,8.09,NA,9.35,0.82,0.5,4.73,62.73,9.015,0.54,8.58,-22.91,5.83
Antioche,2012,1,8.8,32.75,6.34,8.005,0.9275,24.175,0.28,0.67,16.66,177.275,5.721,1.02,5.11,-23.155,7.62
Antioche,2012,2,6.7,33.65,6.915,7.99,0.49,21.745,0.225,0.49,12.795,197.045,3.426,1.915,4.705,-22.935,7.175
Antioche,2012,3,10.35,33.85,6.825,8.065,0.475,8.425,0.155,0.05,1.38,159.44,1.714,2.78,4.12,-20.305,5.73
Antioche,2012,4,11.3,34.3,6.49,8.09,NA,6.67,0.05,0,1.19,267.44,2.291,4.13,6.33,-18.49,6.84
Antioche,2012,5,14.9855,32.75,5.965,7.995,NA,16.77,0.21,0.05,7.985,261.905,2.35,2.18,5.095,-21.775,5.725
Antioche,2012,6,18.276,33.6765,5.49,8.03,0.954,6.55,0.215,0.08,4.9,238.17,3.8025,2.815,5.615,-21.915,5.54
Antioche,2012,7,19.399,33.8755,5.265,7.99,1.516,3.57,0.285,0.03,5.1,191.775,2.7865,2.605,6.05,-20.36,5.58
Antioche,2012,8,20.3565,34.5415,4.91,7.98,1.752,1.73,0.255,0.145,6.785,239.645,2.818,2.04,6.37,-21.465,5.9
Antioche,2012,9,18.3,34.9,4.8,7.9,1.442,1.96,0.38,0.16,6.54,203.33,2.593,1.34,6.2,-22.22,6.11
Antioche,2012,10,16.925,34.6825,5.295,7.97,3.09,6.395,0.61,0.355,10.965,153.81,3.6945,1.15,5.64,-22.285,5.975
Antioche,2012,11,13.35,34,5.705,7.995,1.631,14.04,1.5,0.435,13.125,195.93,7.0255,0.805,6.135,-22.56,6.945
Antioche,2012,12,10.4,33.3,6.26,8,0.297,20.82,0.46,0.26,12.61,276.86,14.82,0.48,6.52,-22.19,6.82
Antioche,2013,1,10.29,32.625,6.185,8.015,NA,26.475,0.335,0.455,16.295,250.71,14.1355,0.695,5.475,-22.88,7.52
Antioche,2013,2,9.28,31.595,6.51,8.025,NA,39.065,0.325,0.48,19.785,199.035,10.374,0.805,4.255,-22.8,7.455
Antioche,2013,3,7.807,33.342,6.59,8.01,NA,23.48,0.19,0.32,10.36,NA,4.907,1.43,NA,NA,NA
Antioche,2013,4,10.859,32.2735,6.23,8.055,NA,19.015,0.32,0.18,8.275,NA,4.178,0.94,NA,NA,NA
Antioche,2013,5,13.363,33.479,5.74,8,NA,17.93,0.46,0.14,8.34,152.48,3.178,1.22,2.15,-22.61,5.83
Antioche,2013,6,16.6225,32.94,5.705,8.105,NA,11.06,0.545,0.05,8.74,262.72,3.5655,2.095,4.01,-20.93,6.285
Antioche,2013,7,19.497,34.093,5.295,8.06,NA,3.59,0.305,0.015,4.37,284.495,1.1185,1.745,4.995,-20.775,6.78
Antioche,2013,8,18.8655,34.668,5.345,8.075,NA,1.165,0.06,0.005,5.82,348.495,1.84,3.235,5.475,-19.29,6.74
Antioche,2013,9,17.4105,34.6245,5.225,8.05,NA,1.285,0.075,0.02,7.805,346.715,2.485,3.94,4.15,-19.84,5.285
Antioche,2013,10,17.964,34.17,4.96,8.005,NA,5.92,0.405,0.27,8.68,302.57,6.121,0.89,3.19,-23.865,7.27
Antioche,2013,11,13.75,33.6365,5.715,8.015,1.707,21.08,1.975,0.615,16.695,312.485,11.6895,0.73,4.6,-24.16,6.75
Antioche,2013,12,9.606,33.372,6.33,8.06,NA,24.51,1.62,0.47,15.98,185.7,4.265,0.92,4.17,-25.35,7.91
Antioche,2014,1,10.577,32.596,6.24,8.045,NA,23.765,0.445,0.37,15.43,278.2,7.501,0.515,3.99,-26.26,8.585
Antioche,2014,2,10.529,30.804,6.32,8,NA,30.78,0.28,0.38,18.91,329.26,10.553,0.67,3.8,-26.15,7.93
Antioche,2014,3,11.0845,32.0345,6.395,8.015,NA,23.515,0.36,0.215,11.94,522.035,20.152,3.275,2.555,-24.86,7.33
Antioche,2014,4,12.464,32.376,6.02,8.105,NA,18.715,0.335,0.105,8.335,276.435,3.529,2.37,1.87,-24.25,6.035
Antioche,2014,5,14.35,33.6395,5.76,8.075,0.783,11.5,0.38,0.135,7.31,323.6,2.502,1.98,8.77,-23.07,6.46
Antioche,2014,6,16.5015,33.4905,5.6,8.115,0.177,9.35,0.36,0.05,7.465,330.43,2.1945,3.215,8.44,-21.48,5.95
Antioche,2014,7,18.337,34.2365,4.91,8.11,0.498,2.8,0.2,0.055,13.555,200.45,1.6825,1.38,4.57,-21.97,6.355
Antioche,2014,8,19.334,34.3585,5.34,8.08,0.3255,1.265,0.165,0.05,3.565,531.08,1.8905,5.265,6.54,-22.785,8.52
Antioche,2014,9,19.75,34.402,4.96,8.16,0.294,0.63,0.13,0.05,3.89,195.02,1.5,2.13,6.16,-20.83,5.43
Antioche,2014,10,17.275,34.0065,5.025,8.065,0.939,3.47,0.815,0.235,7.34,NA,6.175,1.04,NA,NA,NA
Antioche,2014,11,15.1625,33.921,5.41,8.095,NA,7.505,1.625,0.355,8.375,NA,16.3015,0.745,NA,NA,NA
Antioche,2014,12,11.962,33.842,5.94,8.1,NA,14.93,0.9,0.48,11.33,NA,6.585,0.59,NA,NA,NA
Antioche,2015,1,9.9745,32.631,6.43,8.085,0.3845,23.17,0.31,0.52,15.965,128.53,4.3045,0.63,2.24,-23.05,4.91
Antioche,2015,2,8.531,32.614,6.62,8.02,0.654,23.78,0.23,0.43,15.3,324.82,14.048,1.38,3.78,-22.87,5.27
Antioche,2015,3,9.927,32.0515,6.515,8.08,1.328,19.135,0.245,0.25,11.295,247.63,5.77,1.625,6.335,-22.185,5.525
Antioche,2015,4,12.143,33.287,6.26,8.055,1.748,13.055,0.25,0.09,6.265,223.675,2.144,2.185,6.385,-22.93,5.69
Antioche,2015,5,15.162,32.3555,6.35,8.075,0.727,9.865,0.18,0.06,2.715,455.7,2.8935,5.34,11.13,-20.9,6.645
Antioche,2015,6,15.8845,34.3115,5.45,8.03,1.326,5.725,0.395,0.06,5.135,301.46,3.419,2.62,7.995,-21.87,5.725
Antioche,2015,7,17.9675,34.827,5.63,8.07,0.6265,1.095,0.15,0.06,5.725,314.41,2.467,2.36,5.33,-20.92,5.665
Antioche,2015,8,17.8165,35.0805,5.435,8.04,0.5015,0.725,0.135,0.1,6.78,1831.625,15.105,2.565,6.01,-21.74,8.46
Antioche,2015,9,19.2625,34.3615,5.43,8.075,1.478,2.26,0.33,0.24,6.24,132.2,2.6815,1.235,4.145,-22.265,5.555
Antioche,2015,10,16.673,34.3455,5.355,8.095,0.756,3.395,0.61,0.21,6.055,164.515,2.3605,1.145,4.47,-22.65,5.865
Antioche,2015,11,15.1685,34.144,5.51,8.055,0.6,6.455,1.11,0.27,6.58,240.03,5.6595,1.215,5.32,-22.59,7.025
Antioche,2015,12,13.624,34.192,5.79,8.03,0.057,9.84,1.82,0.45,8.65,268.8,11.965,0.63,5.43,-21.5,7.45
Antioche,2016,1,10.409,32.891,6.275,8.05,0.0465,22.175,0.22,0.525,16.065,NA,6.4365,0.64,5.81,NA,NA
Antioche,2016,2,9.421,30.239,6.41,8.05,0.7005,101.765,0.5,0.715,28.115,395.215,11.321,0.925,4.92,-24.505,11.9855
Antioche,2016,3,10.673,32.759,6.405,8.045,0.17,48.785,0.285,0.37,9.725,532.215,13.62,3.46,3.33,-23.395,11.2915
Antioche,2016,4,11.8905,32.655,6.03,8.055,0.8995,34.195,0.3,0.15,6.01,245.635,4.1565,1.69,2.815,-22.58,5.263
Antioche,2016,5,14.8535,32.8395,5.96,8.045,0.65,20.865,0.33,0.06,5.76,371.865,1.6445,2.88,5.625,-21.935,5.57
Antioche,2016,6,17.5115,33.0295,5.565,8.095,0.385,11.22,0.33,0.045,3.585,363.94,1.6585,4.13,5.31,-21.64,6.685
Antioche,2016,7,19.0065,33.702,5.24,8.21,0.54,2.08,0.165,0.075,2.345,NA,2.153,3.02,NA,NA,NA
Antioche,2016,8,18.95,34.5,5.025,8.025,1.3,1.63,0.18,0.125,7.645,NA,1.6105,1.65,NA,NA,NA
Antioche,2016,9,18.1,34.8,5.04,8.015,0.94,1.555,0.185,0.13,6.055,NA,NA,NA,NA,NA,NA
Antioche,2016,10,16.95,34.95,5.105,8.025,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antioche,2016,11,13.8835,34.6,5.565,7.975,NA,NA,NA,NA,8.875,NA,1.384,1.17,NA,NA,NA
Antioche,2016,12,10.45,34.35,6.065,7.965,NA,NA,NA,NA,10.63,NA,NA,NA,NA,NA,NA
Astan,2000,2,13.35,34.9525,6.345,NA,0.115,14.27,0.265,0.425,5.365,NA,NA,0.2,NA,NA,NA
Astan,2000,3,10.3,34.9845,6.38,NA,0.185,12.865,0.305,0.43,5.11,NA,NA,0.335,NA,NA,NA
